fecha,usuarios sin suministro edesur,usuarios sin suministro edenor
2016-03-1707:10:03,0,703
2016-03-1708:10:03,0,1956
2016-03-1709:10:03,0,3725
2016-03-1710:10:04,0,6291
2016-03-1711:10:04,1499,8353
2016-03-1712:10:03,3559,5320
2016-03-1713:10:04,2416,5320
2016-03-1714:10:03,1972,7765
2016-03-1715:10:04,5083,4319
2016-03-1716:10:03,5068,8234
2016-03-1717:10:04,8981,7065
2016-03-1718:10:04,8981,6680
2016-03-1719:10:03,5415,6680
2016-03-1720:10:03,3063,6630
2016-03-1721:10:04,3063,6630
2016-03-1722:10:04,7586,6630
2016-03-1723:10:04,11844,10594
2016-03-1800:10:03,9735,6747
2016-03-1801:10:09,9735,6747
2016-03-1802:10:04,1894,4623
2016-03-1803:10:04,3933,4385
2016-03-1804:10:03,749,17066
2016-03-1805:10:04,55925,20547
2016-03-1806:10:04,61243,28738
2016-03-1807:10:04,65684,30533
2016-03-1808:10:04,53759,30533
2016-03-1809:10:04,55227,25200
2016-03-1810:10:04,44998,22668
2016-03-1811:10:04,34309,21207
2016-03-1812:10:04,27918,15625
2016-03-1813:10:04,29436,12516
2016-03-1814:10:04,28994,10009
2016-03-1815:10:04,24023,18870
2016-03-1816:10:04,15226,11777
2016-03-1817:10:03,12545,3957
2016-03-1818:10:04,11382,5431
2016-03-1819:10:03,11382,5431
2016-03-1820:10:07,10953,2885
2016-03-1821:10:05,10661,2237
2016-03-1822:10:05,26690,1682
2016-03-1823:10:05,16655,1503
2016-03-1900:10:04,16521,850
2016-03-1901:10:05,16521,850
2016-03-1902:10:08,12526,595
2016-03-1903:10:04,10223,43
2016-03-1904:10:04,7014,43
2016-03-1905:10:04,7014,43
2016-03-1906:10:04,11508,43
2016-03-1907:10:04,9113,2565
2016-03-1908:10:04,8654,3701
2016-03-1909:10:04,7855,4435
2016-03-1910:10:05,7294,2434
2016-03-1911:10:04,21152,6315
2016-03-1912:10:11,13251,5473
2016-03-1913:10:05,12584,3147
2016-03-1914:10:05,15608,2829
2016-03-1915:10:05,14188,5397
2016-03-1916:10:06,16010,5669
2016-03-1917:10:04,10948,2664
2016-03-1918:10:04,6867,3857
2016-03-1919:10:04,6867,5088
2016-03-1920:10:04,2217,6187
2016-03-1921:10:05,2217,6187
2016-03-1922:10:04,6785,5560
2016-03-1923:10:04,6568,140
2016-03-2000:10:04,6568,3266
2016-03-2001:10:04,6568,3266
2016-03-2002:10:05,4843,6945
2016-03-2003:10:04,1999,41
2016-03-2004:10:06,1999,41
2016-03-2005:10:04,5000,2415
2016-03-2006:10:04,2204,1641
2016-03-2007:10:04,2204,1641
2016-03-2008:10:04,1662,1201
2016-03-2009:10:05,1662,10557
2016-03-2010:10:04,1662,9328
2016-03-2011:10:04,1662,6426
2016-03-2012:10:04,1662,5449
2016-03-2013:10:04,1662,2737
2016-03-2014:10:03,1662,2125
2016-03-2015:10:04,1662,1762
2016-03-2016:10:04,1662,1450
2016-03-2017:10:04,1356,1007
2016-03-2018:10:04,1356,1007
2016-03-2019:10:04,1356,7206
2016-03-2020:10:05,1356,5641
2016-03-2021:10:04,1356,1847
2016-03-2022:10:04,1356,961
2016-03-2023:10:05,9359,961
2016-03-2100:10:04,9359,732
2016-03-2101:10:05,9359,732
2016-03-2102:10:04,9359,731
2016-03-2103:10:04,7511,731
2016-03-2104:10:04,7511,731
2016-03-2105:10:04,1867,731
2016-03-2106:10:04,1867,731
2016-03-2107:10:04,1867,731
2016-03-2108:10:04,1867,801
2016-03-2109:10:06,1867,323
2016-03-2110:10:06,9329,904
2016-03-2111:10:04,1356,6835
2016-03-2112:10:04,6236,2676
2016-03-2113:10:04,6236,2676
2016-03-2114:10:04,6236,909
2016-03-2115:10:04,10573,1543
2016-03-2116:10:04,6765,1085
2016-03-2117:10:04,6685,1090
2016-03-2118:10:04,5350,1043
2016-03-2119:10:04,5167,914
2016-03-2120:10:03,5258,720
2016-03-2121:10:05,2081,343
2016-03-2122:10:05,5337,374
2016-03-2123:10:06,5317,1113
2016-03-2200:10:04,5243,1113
2016-03-2201:10:04,5296,1113
2016-03-2202:10:06,11815,1113
2016-03-2203:10:04,11815,1091
2016-03-2204:10:04,7963,366
2016-03-2205:10:04,5458,352
2016-03-2206:10:04,3573,352
2016-03-2207:10:04,7638,301
2016-03-2208:10:04,12955,382
2016-03-2209:10:04,14868,4887
2016-03-2210:10:05,19494,5250
2016-03-2211:10:04,14103,7830
2016-03-2212:10:04,13106,11919
2016-03-2213:10:04,13126,7595
2016-03-2214:10:04,13205,11060
2016-03-2215:10:05,21102,6584
2016-03-2216:10:05,21031,6938
2016-03-2217:10:04,19936,5428
2016-03-2218:10:04,19617,3713
2016-03-2219:10:04,15730,4481
2016-03-2220:10:04,15793,1565
2016-03-2221:10:04,7056,950
2016-03-2222:10:05,8136,1026
2016-03-2223:10:05,5553,1108
2016-03-2300:10:04,5641,3465
2016-03-2301:10:11,5335,3465
2016-03-2302:10:04,5316,551
2016-03-2303:10:04,6316,240
2016-03-2304:10:04,10544,240
2016-03-2305:10:04,11141,240
2016-03-2306:10:04,5270,240
2016-03-2307:10:05,5255,5219
2016-03-2308:10:03,5047,3035
2016-03-2309:10:04,4558,5876
2016-03-2310:10:04,1370,7045
2016-03-2311:10:04,4454,7202
2016-03-2312:10:06,4510,11037
2016-03-2313:10:04,4433,12854
2016-03-2314:10:03,4091,9841
2016-03-2315:10:04,9795,4760
2016-03-2316:10:03,8481,4290
2016-03-2317:10:04,3863,3362
2016-03-2318:10:06,6320,3548
2016-03-2319:10:04,6038,3406
2016-03-2320:10:03,6102,2776
2016-03-2321:10:04,8312,3380
2016-03-2322:10:05,3701,676
2016-03-2323:10:05,3152,746
2016-03-2400:10:05,3018,699
2016-03-2401:10:03,2938,699
2016-03-2402:10:04,2931,3474
2016-03-2403:10:04,2921,1808
2016-03-2404:10:05,5345,1808
2016-03-2405:10:04,3709,462
2016-03-2406:10:04,6414,451
2016-03-2407:10:04,6248,391
2016-03-2408:10:04,3747,364
2016-03-2409:10:04,5968,504
2016-03-2410:10:04,2004,669
2016-03-2411:10:03,2002,876
2016-03-2412:10:04,2138,921
2016-03-2413:10:03,2112,313
2016-03-2414:10:04,2155,313
2016-03-2415:10:04,2146,211
2016-03-2416:10:05,2293,197
2016-03-2417:10:04,2190,202
2016-03-2418:10:04,1846,2402
2016-03-2419:10:04,1957,2441
2016-03-2420:10:04,2028,573
2016-03-2421:10:04,1960,572
2016-03-2422:10:04,1887,544
2016-03-2423:10:05,1774,513
2016-03-2500:10:04,1657,456
2016-03-2501:10:05,1518,988
2016-03-2502:10:04,1513,999
2016-03-2503:10:04,4725,999
2016-03-2504:10:04,4695,3214
2016-03-2505:10:04,1469,3215
2016-03-2506:10:04,1463,3176
2016-03-2507:10:04,1419,487
2016-03-2508:10:04,4805,506
2016-03-2509:10:04,2591,1186
2016-03-2510:10:04,2543,1039
2016-03-2511:10:04,3429,4126
2016-03-2512:10:04,1655,1874
2016-03-2513:10:04,1056,882
2016-03-2514:10:04,1134,688
2016-03-2515:10:04,1103,3931
2016-03-2516:10:04,996,5397
2016-03-2517:10:04,1039,5447
2016-03-2518:10:04,8773,2307
2016-03-2519:10:04,8883,791
2016-03-2520:10:04,6472,786
2016-03-2521:10:04,5574,283
2016-03-2522:10:05,5685,260
2016-03-2523:10:05,3349,358
2016-03-2600:10:05,5183,208
2016-03-2601:10:08,5199,208
2016-03-2602:10:05,3094,208
2016-03-2603:10:04,1281,208
2016-03-2604:10:03,1279,208
2016-03-2605:10:03,1263,208
2016-03-2606:10:04,1279,208
2016-03-2607:10:04,1210,208
2016-03-2608:10:04,1220,208
2016-03-2609:10:03,1253,1394
2016-03-2610:10:03,1312,1402
2016-03-2611:10:04,1358,1276
2016-03-2612:10:03,595,4133
2016-03-2613:10:04,676,2601
2016-03-2614:10:04,633,7135
2016-03-2615:10:04,1332,7097
2016-03-2616:10:04,557,5321
2016-03-2617:10:04,713,204
2016-03-2618:10:04,975,246
2016-03-2619:10:05,2136,3823
2016-03-2620:10:04,546,3758
2016-03-2621:10:04,590,449
2016-03-2622:10:05,892,142
2016-03-2623:10:04,811,38
2016-03-2700:10:04,712,4833
2016-03-2701:10:04,731,4833
2016-03-2702:10:04,6437,4833
2016-03-2703:10:03,9311,4833
2016-03-2704:10:06,8398,4833
2016-03-2705:10:04,8252,4833
2016-03-2706:10:04,4629,4871
2016-03-2707:10:04,4625,277
2016-03-2708:10:05,4362,839
2016-03-2709:10:03,4695,3448
2016-03-2710:10:04,4798,2619
2016-03-2711:10:05,9531,1264
2016-03-2712:10:04,6753,3966
2016-03-2713:10:04,5352,1011
2016-03-2714:10:04,3769,1011
2016-03-2715:10:04,643,975
2016-03-2716:10:04,658,974
2016-03-2717:10:04,592,1629
2016-03-2718:10:04,589,815
2016-03-2719:10:04,631,178
2016-03-2720:10:05,576,8924
2016-03-2721:10:04,539,592
2016-03-2722:10:06,510,178
2016-03-2723:10:04,3118,46
2016-03-2800:10:05,3529,46
2016-03-2801:10:04,3529,46
2016-03-2802:10:04,899,46
2016-03-2803:10:04,899,46
2016-03-2804:10:05,412,46
2016-03-2805:10:04,368,46
2016-03-2806:10:04,4103,46
2016-03-2807:10:04,4078,46
2016-03-2808:10:04,11959,57
2016-03-2809:10:04,6018,3764
2016-03-2810:10:04,10714,2365
2016-03-2811:10:05,6094,2884
2016-03-2812:10:04,7846,2891
2016-03-2813:10:06,5175,2425
2016-03-2814:10:04,4863,6828
2016-03-2815:10:04,1661,3035
2016-03-2816:10:04,894,2941
2016-03-2817:10:28,1569,2941
2016-03-2818:10:04,3169,10022
2016-03-2819:10:05,3294,7861
2016-03-2820:10:03,3271,4973
2016-03-2821:10:05,1815,5420
2016-03-2822:10:05,1876,2344
2016-03-2823:10:08,999,2215
2016-03-2900:10:05,989,2251
2016-03-2901:10:04,997,2211
2016-03-2902:10:04,1011,515
2016-03-2903:10:06,1012,497
2016-03-2904:10:06,2265,386
2016-03-2905:10:04,1689,380
2016-03-2906:10:04,1666,380
2016-03-2907:10:06,1505,309
2016-03-2908:10:04,1513,3033
2016-03-2909:10:05,1542,2927
2016-03-2910:10:04,1045,966
2016-03-2911:10:06,898,5830
2016-03-2912:10:06,927,4494
2016-03-2913:10:04,850,7345
2016-03-2914:10:06,655,2908
2016-03-2915:10:04,726,1058
2016-03-2916:10:05,10736,5233
2016-03-2917:10:04,6469,76322
2016-03-2918:10:04,3950,76445
2016-03-2919:10:03,2547,50583
2016-03-2920:10:04,2474,24195
2016-03-2921:10:04,2420,18848
2016-03-2922:10:04,2432,16544
2016-03-2923:10:04,2432,8797
2016-03-3000:10:04,2183,8801
2016-03-3001:10:04,2183,8772
2016-03-3002:10:05,4196,8772
2016-03-3003:10:04,4182,8772
2016-03-3004:10:03,2436,8772
2016-03-3005:10:04,2312,8772
2016-03-3006:10:04,1014,3729
2016-03-3007:10:04,1005,1027
2016-03-3008:10:04,1047,2534
2016-03-3009:10:04,1058,9959
2016-03-3010:10:04,929,9971
2016-03-3011:10:06,839,13812
2016-03-3012:10:04,1157,8278
2016-03-3013:10:05,1989,9322
2016-03-3014:10:05,5940,8957
2016-03-3015:10:04,6017,5593
2016-03-3016:10:04,6010,8508
2016-03-3017:10:06,4352,5956
2016-03-3018:10:04,4956,4271
2016-03-3019:10:04,3424,1135
2016-03-3020:10:04,3477,1024
2016-03-3021:10:04,3481,7003
2016-03-3022:10:05,11116,12310
2016-03-3023:10:06,8385,11467
2016-03-3100:10:04,8299,10453
2016-03-3101:10:05,8318,10453
2016-03-3102:10:10,5458,7976
2016-03-3103:10:04,2806,7035
2016-03-3104:10:04,1285,7035
2016-03-3105:10:04,1285,6995
2016-03-3106:10:04,2427,5066
2016-03-3107:10:04,2433,6470
2016-03-3108:10:04,1167,6470
2016-03-3109:10:03,1058,7798
2016-03-3110:10:04,894,7763
2016-03-3111:10:03,3310,7428
2016-03-3112:10:04,3302,9519
2016-03-3113:10:04,3278,9369
2016-03-3114:10:03,1269,11904
2016-03-3115:10:04,1244,4306
2016-03-3116:10:04,1170,4656
2016-03-3117:10:04,1386,5340
2016-03-3118:10:03,1422,4437
2016-03-3119:10:04,1216,4450
2016-03-3120:10:04,174,4477
2016-03-3121:10:05,1425,1497
2016-03-3122:10:04,2186,1528
2016-03-3123:10:04,7986,1492
2016-04-0100:10:04,8145,6452
2016-04-0101:10:04,8067,6452
2016-04-0102:10:10,10493,5566
2016-04-0103:10:05,7559,5566
2016-04-0104:10:04,7189,5566
2016-04-0105:10:04,3772,5566
2016-04-0106:10:04,1521,1285
2016-04-0107:10:04,1529,1338
2016-04-0108:10:04,1432,2310
2016-04-0109:10:05,1538,3141
2016-04-0110:10:03,2564,3163
2016-04-0111:10:04,4712,5770
2016-04-0112:10:04,3630,8600
2016-04-0113:10:04,3515,8486
2016-04-0114:10:04,2349,20590
2016-04-0115:10:05,34688,30170
2016-04-0116:10:05,49731,32123
2016-04-0117:10:04,46575,25632
2016-04-0118:10:04,39633,16917
2016-04-0119:10:04,20985,21960
2016-04-0120:10:04,10757,21334
2016-04-0121:10:04,12957,19366
2016-04-0122:10:05,14195,16514
2016-04-0123:10:05,13634,20163
2016-04-0200:10:05,17452,15313
2016-04-0201:10:05,17572,15313
2016-04-0202:10:11,14267,15313
2016-04-0203:10:04,14833,7624
2016-04-0204:10:04,14677,7624
2016-04-0205:10:04,15483,7624
2016-04-0206:10:04,13209,7624
2016-04-0207:10:04,13028,3759
2016-04-0208:10:03,14911,2170
2016-04-0209:10:03,16712,8212
2016-04-0210:10:03,10877,6478
2016-04-0211:10:04,12101,6604
2016-04-0212:10:04,11713,7975
2016-04-0213:10:04,18939,11176
2016-04-0214:10:03,17416,10053
2016-04-0215:10:04,18244,9460
2016-04-0216:10:04,27050,3404
2016-04-0217:10:04,27545,3315
2016-04-0218:10:06,23089,3188
2016-04-0219:10:04,23417,2485
2016-04-0220:10:07,19675,2200
2016-04-0221:10:03,19715,5365
2016-04-0222:10:04,21360,3012
2016-04-0223:10:05,20949,3084
2016-04-0300:10:04,17974,3058
2016-04-0301:10:04,17808,2998
2016-04-0302:10:04,8297,2998
2016-04-0303:10:03,8259,5621
2016-04-0304:10:04,6792,4632
2016-04-0305:10:04,8058,4071
2016-04-0306:10:04,8027,2508
2016-04-0307:10:04,8092,3747
2016-04-0308:10:04,8754,3985
2016-04-0309:10:04,8120,4649
2016-04-0310:10:04,7756,8697
2016-04-0311:10:05,7678,6452
2016-04-0312:10:05,7738,6375
2016-04-0313:10:04,9762,9700
2016-04-0314:10:04,10783,9639
2016-04-0315:10:06,5388,9882
2016-04-0316:10:04,7552,9653
2016-04-0317:10:04,7560,1365
2016-04-0318:10:04,7393,2165
2016-04-0319:10:04,5309,1091
2016-04-0320:10:04,5036,1017
2016-04-0321:10:05,4586,1029
2016-04-0322:10:10,13370,328
2016-04-0323:10:05,13284,295
2016-04-0400:10:05,13106,316
2016-04-0401:10:04,13054,316
2016-04-0402:10:11,7191,316
2016-04-0403:10:04,7162,339
2016-04-0404:10:04,7162,2493
2016-04-0405:10:04,4159,2493
2016-04-0406:10:04,4113,318
2016-04-0407:10:04,4099,318
2016-04-0408:10:04,4200,342
2016-04-0409:10:04,4273,833
2016-04-0410:10:05,4339,507
2016-04-0411:10:04,4215,1365
2016-04-0412:10:03,4194,4607
2016-04-0413:10:04,4194,4607
2016-04-0414:10:04,7246,5371
2016-04-0415:10:05,7246,4083
2016-04-0416:10:04,6766,3131
2016-04-0417:10:04,8366,2978
2016-04-0418:10:04,10266,878
2016-04-0419:10:05,10270,8468
2016-04-0420:10:04,9731,8870
2016-04-0421:10:04,9691,14784
2016-04-0422:10:05,10403,18797
2016-04-0423:10:04,13836,18797
2016-04-0500:10:05,9629,9441
2016-04-0501:10:04,9629,9441
2016-04-0502:10:04,6196,2345
2016-04-0503:10:04,6196,2345
2016-04-0504:10:03,6196,3572
2016-04-0505:10:05,6196,2350
2016-04-0506:10:04,10924,2346
2016-04-0507:10:05,10924,2346
2016-04-0508:10:04,10147,2346
2016-04-0509:10:04,10147,2636
2016-04-0510:10:05,13350,6672
2016-04-0511:10:04,11498,6300
2016-04-0512:10:04,14185,4494
2016-04-0513:10:04,18333,3603
2016-04-0514:10:03,18333,3495
2016-04-0515:10:04,12274,4229
2016-04-0516:10:05,15295,2083
2016-04-0517:10:04,14476,1667
2016-04-0518:10:04,13887,1649
2016-04-0519:10:04,13582,778
2016-04-0520:10:04,13582,431
2016-04-0521:10:04,13582,431
2016-04-0522:10:04,11570,431
2016-04-0523:10:05,10961,431
2016-04-0600:10:04,1866,431
2016-04-0601:10:05,1866,431
2016-04-0602:10:04,1866,431
2016-04-0603:10:04,1866,430
2016-04-0604:10:04,1866,3287
2016-04-0605:10:04,1866,5785
2016-04-0606:10:04,1866,5805
2016-04-0607:10:04,1866,6446
2016-04-0608:10:04,1866,3195
2016-04-0609:10:04,1866,5937
2016-04-0610:10:04,1866,6361
2016-04-0611:10:04,1866,6325
2016-04-0612:10:05,1866,5243
2016-04-0613:10:04,1866,4153
2016-04-0614:10:04,1866,9519
2016-04-0615:10:04,1866,2828
2016-04-0616:10:06,1866,1805
2016-04-0617:10:04,1970,4456
2016-04-0618:10:04,1970,712
2016-04-0619:10:04,1970,430
2016-04-0620:10:04,6064,3823
2016-04-0621:10:06,1879,2841
2016-04-0622:10:03,1879,5302
2016-04-0623:10:04,1879,5301
2016-04-0700:10:04,2398,641
2016-04-0701:10:04,2398,641
2016-04-0702:10:05,5283,430
2016-04-0703:10:04,5283,4403
2016-04-0704:10:04,2398,2341
2016-04-0705:10:05,2517,877
2016-04-0706:10:04,4147,877
2016-04-0707:10:04,4147,430
2016-04-0708:10:04,7454,1191
2016-04-0709:10:03,5000,1191
2016-04-0710:10:04,2397,1541
2016-04-0711:10:04,7820,2375
2016-04-0712:10:04,7820,2402
2016-04-0713:10:06,7820,2158
2016-04-0714:10:04,7820,2194
2016-04-0715:10:05,7820,6004
2016-04-0716:10:05,10418,4517
2016-04-0717:10:04,13806,1941
2016-04-0718:10:03,11208,1519
2016-04-0719:10:05,11208,1111
2016-04-0720:10:04,2384,1099
2016-04-0721:10:04,2384,429
2016-04-0722:10:04,2384,429
2016-04-0723:10:05,5837,429
2016-04-0800:10:04,2384,429
2016-04-0801:10:08,2384,429
2016-04-0802:10:04,2384,429
2016-04-0803:10:04,2384,429
2016-04-0804:10:08,5585,429
2016-04-0805:10:04,5216,3163
2016-04-0806:10:04,2384,2179
2016-04-0807:10:04,11942,1412
2016-04-0808:10:04,6589,1412
2016-04-0809:10:05,6589,1412
2016-04-0810:10:04,19993,11575
2016-04-0811:10:04,6589,8401
2016-04-0812:10:07,4125,9542
2016-04-0813:10:04,4125,8401
2016-04-0814:10:05,4125,8755
2016-04-0815:10:04,6579,8357
2016-04-0816:10:04,9305,8357
2016-04-0817:10:04,6851,8357
2016-04-0818:10:03,3179,9320
2016-04-0819:10:06,3179,9215
2016-04-0820:10:04,7299,9215
2016-04-0821:10:04,8815,9215
2016-04-0822:10:05,8406,9215
2016-04-0823:10:04,7853,9215
2016-04-0900:10:04,6824,9215
2016-04-0901:10:17,6824,9215
2016-04-0902:10:15,6475,9215
2016-04-0903:10:04,5571,9215
2016-04-0904:10:05,2223,3311
2016-04-0905:10:04,5429,3283
2016-04-0906:10:03,2223,3283
2016-04-0907:10:04,2223,3283
2016-04-0908:10:04,2223,4628
2016-04-0909:10:04,3242,4653
2016-04-0910:10:04,1866,4953
2016-04-0911:10:04,9959,3778
2016-04-0912:10:06,5796,3753
2016-04-0913:10:04,2177,3753
2016-04-0914:10:05,2177,3587
2016-04-0915:10:05,2974,3283
2016-04-0916:10:04,2663,3283
2016-04-0917:10:04,1866,3283
2016-04-0918:10:05,1865,4092
2016-04-0919:10:04,1865,4092
2016-04-0920:10:05,1865,4092
2016-04-0921:10:04,3578,4092
2016-04-0922:10:04,8955,5179
2016-04-0923:10:04,8955,5120
2016-04-1000:10:03,8955,3511
2016-04-1001:10:14,8955,3511
2016-04-1002:10:04,8498,8223
2016-04-1003:10:04,8498,4053
2016-04-1004:10:05,8498,4053
2016-04-1005:10:04,8498,4053
2016-04-1006:10:05,8498,3511
2016-04-1007:10:04,3121,3511
2016-04-1008:10:04,3121,3511
2016-04-1009:10:04,3285,5237
2016-04-1010:10:06,3285,4277
2016-04-1011:10:03,2428,6655
2016-04-1012:10:05,2428,4481
2016-04-1013:10:04,2428,2085
2016-04-1014:10:04,2428,1663
2016-04-1015:10:03,2428,1320
2016-04-1016:10:03,2428,1320
2016-04-1017:10:03,2110,1432
2016-04-1018:10:04,1997,1649
2016-04-1019:10:05,1997,4653
2016-04-1020:10:03,1997,2031
2016-04-1021:10:04,4165,1091
2016-04-1022:10:04,8959,4304
2016-04-1023:10:04,7600,3215
2016-04-1100:10:04,7600,1268
2016-04-1101:10:05,7600,1268
2016-04-1102:10:03,7048,1268
2016-04-1103:10:03,3056,3045
2016-04-1104:10:04,5702,6695
2016-04-1105:10:03,2247,4957
2016-04-1106:10:04,2247,7768
2016-04-1107:10:04,2247,7768
2016-04-1108:10:03,1997,836
2016-04-1109:10:06,1997,836
2016-04-1110:10:04,1865,1179
2016-04-1111:10:06,1865,3496
2016-04-1112:10:05,1865,11662
2016-04-1113:10:05,1865,7807
2016-04-1114:10:04,1865,6944
2016-04-1115:10:04,1865,6585
2016-04-1116:10:04,1865,2034
2016-04-1117:10:04,1865,837
2016-04-1118:10:04,1865,647
2016-04-1119:10:03,1865,430
2016-04-1120:10:03,1865,430
2016-04-1121:10:06,1865,10470
2016-04-1122:10:06,1865,3255
2016-04-1123:10:04,1865,3281
2016-04-1200:10:04,1865,1993
2016-04-1201:10:12,1865,1993
2016-04-1202:10:04,1865,1993
2016-04-1203:10:04,1865,4203
2016-04-1204:10:03,1865,11594
2016-04-1205:10:05,1865,7821
2016-04-1206:10:03,1865,2986
2016-04-1207:10:03,1865,2337
2016-04-1208:10:03,1864,2337
2016-04-1209:10:03,15268,3787
2016-04-1210:10:04,15268,4048
2016-04-1211:10:04,15268,4048
2016-04-1212:10:04,15268,4506
2016-04-1213:10:04,23680,2568
2016-04-1214:10:03,19474,2983
2016-04-1215:10:05,2322,3091
2016-04-1216:10:05,2322,573
2016-04-1217:10:04,2322,574
2016-04-1218:10:04,2322,574
2016-04-1219:10:04,2322,574
2016-04-1220:10:04,1864,573
2016-04-1221:10:05,3498,573
2016-04-1222:10:03,1864,548
2016-04-1223:10:04,1864,548
2016-04-1300:10:04,1864,548
2016-04-1301:10:03,1864,548
2016-04-1302:10:12,3424,537
2016-04-1303:10:04,1864,537
2016-04-1304:10:06,1864,537
2016-04-1305:10:04,1864,537
2016-04-1306:10:04,1864,537
2016-04-1307:10:04,6984,537
2016-04-1308:10:04,6984,537
2016-04-1309:10:05,2212,537
2016-04-1310:10:04,4214,4059
2016-04-1311:10:03,2892,4059
2016-04-1312:10:04,8350,4059
2016-04-1313:10:03,8350,7653
2016-04-1314:10:04,8350,2180
2016-04-1315:10:04,11770,1542
2016-04-1316:10:03,13613,1235
2016-04-1317:10:04,9051,1235
2016-04-1318:10:04,6452,1235
2016-04-1319:10:03,2315,1235
2016-04-1320:10:05,2315,4656
2016-04-1321:10:04,2315,801
2016-04-1322:10:05,5480,429
2016-04-1323:10:06,5480,429
2016-04-1400:10:04,5030,429
2016-04-1401:10:03,5030,429
2016-04-1402:10:03,3134,1996
2016-04-1403:10:03,3134,3593
2016-04-1404:10:04,3134,2237
2016-04-1405:10:05,3134,716
2016-04-1406:10:04,3134,716
2016-04-1407:10:05,3134,716
2016-04-1408:10:04,4195,716
2016-04-1409:10:04,4195,1078
2016-04-1410:10:04,4195,4490
2016-04-1411:10:05,3134,5048
2016-04-1412:10:04,5136,5757
2016-04-1413:10:03,5136,5833
2016-04-1414:10:04,3509,6556
2016-04-1415:10:05,3509,16325
2016-04-1416:10:03,3134,7986
2016-04-1417:10:04,3134,4085
2016-04-1418:10:04,6133,4096
2016-04-1419:10:04,4863,1480
2016-04-1420:10:04,4863,1480
2016-04-1421:10:04,3966,967
2016-04-1422:10:04,3965,429
2016-04-1423:10:04,3101,18715
2016-04-1500:10:05,3101,1855
2016-04-1501:10:04,3101,1855
2016-04-1502:10:03,3101,477
2016-04-1503:10:04,3359,509
2016-04-1504:10:03,4602,4815
2016-04-1505:10:04,4602,429
2016-04-1506:10:04,3247,429
2016-04-1507:10:05,3247,429
2016-04-1508:10:04,8435,429
2016-04-1509:10:04,8289,8370
2016-04-1510:10:04,8289,8169
2016-04-1511:10:04,2257,7027
2016-04-1512:10:04,2257,3476
2016-04-1513:10:04,8231,9230
2016-04-1514:10:03,8231,10020
2016-04-1515:10:04,23774,4435
2016-04-1516:10:04,17526,19969
2016-04-1517:10:04,30787,19969
2016-04-1518:10:03,26785,16923
2016-04-1519:10:04,23310,19568
2016-04-1520:10:05,19286,16923
2016-04-1521:10:04,14793,485
2016-04-1522:10:04,13159,485
2016-04-1523:10:04,8541,485
2016-04-1600:10:03,5209,485
2016-04-1601:10:06,5209,485
2016-04-1602:10:04,8759,3126
2016-04-1603:10:04,8759,7492
2016-04-1604:10:04,8759,7492
2016-04-1605:10:04,8759,7492
2016-04-1606:10:05,10362,9005
2016-04-1607:10:04,10362,9005
2016-04-1608:10:04,10362,9005
2016-04-1609:10:04,10362,9005
2016-04-1610:10:05,10362,9005
2016-04-1611:10:05,8048,5185
2016-04-1612:10:03,14744,6078
2016-04-1613:10:03,14688,3920
2016-04-1614:10:03,16580,4863
2016-04-1615:10:04,8935,4882
2016-04-1616:10:04,7989,2336
2016-04-1617:10:03,8893,2316
2016-04-1618:10:07,9043,3633
2016-04-1619:10:04,12153,3533
2016-04-1620:10:04,8993,2254
2016-04-1621:10:04,8326,1189
2016-04-1622:10:04,13088,1214
2016-04-1623:10:04,17169,945
2016-04-1700:10:03,13824,941
2016-04-1701:10:04,13829,941
2016-04-1702:10:04,11761,3864
2016-04-1703:10:05,10197,3835
2016-04-1704:10:05,6127,907
2016-04-1705:10:04,6457,907
2016-04-1706:10:04,6168,907
2016-04-1707:10:04,6068,908
2016-04-1708:10:04,1260,1007
2016-04-1709:10:03,1243,1718
2016-04-1710:10:04,1289,4228
2016-04-1711:10:04,1114,4217
2016-04-1712:10:05,1285,3902
2016-04-1713:10:04,1165,5373
2016-04-1714:10:03,1737,7176
2016-04-1715:10:06,14904,3281
2016-04-1716:10:04,7580,925
2016-04-1717:10:04,3383,4401
2016-04-1718:10:06,1785,2097
2016-04-1719:10:04,7807,2189
2016-04-1720:10:04,3166,7551
2016-04-1721:10:06,1023,9543
2016-04-1722:10:04,1732,3174
2016-04-1723:10:04,1661,2858
2016-04-1800:10:05,1585,1418
2016-04-1801:10:03,1554,1418
2016-04-1802:10:04,1570,1418
2016-04-1803:10:04,1613,1415
2016-04-1804:10:05,1509,1344
2016-04-1805:10:04,1510,1328
2016-04-1806:10:04,1595,586
2016-04-1807:10:04,1599,586
2016-04-1808:10:04,3855,586
2016-04-1809:10:04,5574,763
2016-04-1810:10:04,2086,4835
2016-04-1811:10:03,896,11842
2016-04-1812:10:04,1880,7152
2016-04-1813:10:03,2591,11041
2016-04-1814:10:04,2418,9852
2016-04-1815:10:04,2090,7494
2016-04-1816:10:04,2187,7206
2016-04-1817:10:05,2277,4813
2016-04-1818:10:04,6181,1260
2016-04-1819:10:04,8873,1332
2016-04-1820:10:04,5401,7642
2016-04-1821:10:04,11719,2246
2016-04-1822:10:04,6442,1119
2016-04-1823:10:04,8355,622
2016-04-1900:10:04,4259,627
2016-04-1901:10:05,4270,575
2016-04-1902:10:04,4284,3080
2016-04-1903:10:05,4276,2931
2016-04-1904:10:04,9621,398
