fecha,usuarios sin suministro edesur,usuarios sin suministro edenor
2016-01-0723:10:04,891,4
2016-01-0800:10:04,391,0
2016-01-0801:10:04,391,0
2016-01-0802:10:03,391,0
2016-01-0803:10:04,391,0
2016-01-0804:10:04,390,0
2016-01-0805:10:03,390,0
2016-01-0806:10:04,390,0
2016-01-0807:10:04,390,0
2016-01-0808:10:03,4252,1
2016-01-0809:10:03,4252,1
2016-01-0810:10:04,4252,266
2016-01-0811:10:04,5960,321
2016-01-0812:10:04,458,321
2016-01-0813:10:03,458,56
2016-01-0814:10:04,96,56
2016-01-0815:10:04,96,6581
2016-01-0816:10:05,3350,6581
2016-01-0817:10:03,65,8733
2016-01-0818:10:04,3202,8550
2016-01-0819:10:04,3202,877
2016-01-0820:10:04,2038,877
2016-01-0821:10:04,2038,3869
2016-01-0822:10:04,66,2222
2016-01-0823:10:04,3330,1500
2016-01-0900:10:04,3330,1479
2016-01-0901:10:13,3330,1479
2016-01-0902:10:10,199,369
2016-01-0903:10:05,199,369
2016-01-0904:10:03,199,369
2016-01-0905:10:04,3113,369
2016-01-0906:10:04,199,369
2016-01-0907:10:04,199,369
2016-01-0908:10:05,1144,1
2016-01-0909:10:03,1144,1
2016-01-0910:10:05,1224,2
2016-01-0911:10:04,1018,2
2016-01-0912:10:05,6168,41
2016-01-0913:10:05,6168,1021
2016-01-0914:10:03,2264,1810
2016-01-0915:10:04,2264,1810
2016-01-0916:10:04,1519,253
2016-01-0917:10:04,1519,153
2016-01-0918:10:05,4344,154
2016-01-0919:10:04,58,154
2016-01-0920:10:04,57,8170
2016-01-0921:10:04,57,4435
2016-01-0922:10:05,57,4011
2016-01-0923:10:04,20,1321
2016-01-1000:10:04,663,1
2016-01-1001:10:09,663,1
2016-01-1002:10:04,210,0
2016-01-1003:10:04,46,0
2016-01-1004:10:05,46,0
2016-01-1005:10:05,46,0
2016-01-1006:10:03,46,0
2016-01-1007:10:04,46,0
2016-01-1008:10:04,46,0
2016-01-1009:10:05,468,1364
2016-01-1010:10:04,46,3405
2016-01-1011:10:04,1204,1118
2016-01-1012:10:04,66,607
2016-01-1013:10:04,3883,1645
2016-01-1014:10:04,3883,1643
2016-01-1015:10:03,3883,396
2016-01-1016:10:05,1505,396
2016-01-1017:10:04,985,5247
2016-01-1018:10:04,1178,1059
2016-01-1019:10:04,1178,383
2016-01-1020:10:04,908,2921
2016-01-1021:10:05,687,2553
2016-01-1022:10:04,1488,375
2016-01-1023:10:04,1488,375
2016-01-1100:10:04,103,360
2016-01-1101:10:04,103,360
2016-01-1102:10:03,103,4110
2016-01-1103:10:03,103,516
2016-01-1104:10:04,103,0
2016-01-1105:10:04,103,3499
2016-01-1106:10:04,103,2294
2016-01-1107:10:04,103,1331
2016-01-1108:10:05,19,695
2016-01-1109:10:03,19,695
2016-01-1110:10:04,19,992
2016-01-1111:10:04,19,992
2016-01-1112:10:04,1547,864
2016-01-1113:10:04,5951,864
2016-01-1114:10:04,5944,2872
2016-01-1115:10:05,5944,2685
2016-01-1116:10:04,3787,2009
2016-01-1117:10:04,2864,274
2016-01-1118:10:04,2049,274
2016-01-1119:10:04,2049,273
2016-01-1120:10:04,1139,345
2016-01-1121:10:05,9394,810
2016-01-1122:10:05,2633,566
2016-01-1123:10:03,2633,3945
2016-01-1200:10:04,1139,453
2016-01-1201:10:14,1139,453
2016-01-1202:10:04,1139,7236
2016-01-1203:10:04,2897,4527
2016-01-1204:10:04,8084,1604
2016-01-1205:10:04,4970,1603
2016-01-1206:10:05,2900,84
2016-01-1207:10:03,1387,4514
2016-01-1208:10:04,1387,5852
2016-01-1209:10:04,1387,5579
2016-01-1210:10:03,8596,2803
2016-01-1211:10:04,1665,3354
2016-01-1212:10:04,1129,2909
2016-01-1213:10:04,1129,5040
2016-01-1214:10:03,2114,4771
2016-01-1215:10:05,6824,14175
2016-01-1216:10:03,5263,19357
2016-01-1217:10:04,10723,13378
2016-01-1218:10:04,1441,20146
2016-01-1219:10:04,1306,26222
2016-01-1220:10:03,1306,7722
2016-01-1221:10:04,1306,820
2016-01-1222:10:04,1306,4396
2016-01-1223:10:04,1303,48
2016-01-1300:10:05,1303,48
2016-01-1301:10:03,1303,48
2016-01-1302:10:05,1578,5575
2016-01-1303:10:04,1578,704
2016-01-1304:10:04,1351,541
2016-01-1305:10:03,1351,541
2016-01-1306:10:04,1351,541
2016-01-1307:10:03,1351,541
2016-01-1308:10:04,4463,1174
2016-01-1309:10:06,1952,1481
2016-01-1310:10:04,6866,1849
2016-01-1311:10:04,2333,5520
2016-01-1312:10:05,2333,5609
2016-01-1313:10:04,68,5608
