"id","fecha_delito","descripcion","comentario","lat","lng","tiny"
"383","2014-10-2 12:00:00","Robo con Arma","Fue asaltado por los hijos de un cliente: le mostrÃ³ el video al padre
http://www.clarin.com/policiales/cliente-entraron-robarle-mostro-padre_0_1222678056.html","-32.97524202784734","-60.64832925796509","http://tinyurl.com/kd5v4e3"
"384","2014-10-1 12:00:00","Homicidio","Crimen del repartidor de Virrey del Pino: lo mataron por que se moviÃ³
http://www.clarin.com/policiales/Crimen-repartidor-Virrey-Pino-mataron_0_1222078172.html","-34.5649015","-58.4541801","http://tinyurl.com/m2t5zb3"
"385","2014-10-1 21:00:00","Homicidio","Asesinaron a un comerciante frente a su casa en Merlo.
http://www.lanacion.com.ar/1732155-asesinaron-a-un-comerciante-frente-a-su-casa-en-merlo","-34.6828043","-58.6872248","http://tinyurl.com/lujmeyf"
"386","2014-10-1 12:00:00","Homicidio","Discutieron por la construcciÃ³n de una medianera y lo matÃ³ de un tiro
http://www.lanacion.com.ar/1732026-discutieron-por-la-construccion-de-una-medianera-y-lo-mato-de-un-tiro","-34.6661685","-58.5101855","http://tinyurl.com/ndewr67"
"387","2014-10-1 11:00:00","Robo con Arma","Brutal salidera bancaria en Moreno Dame la plata porque sino mato a tu nieta
http://www.lanacion.com.ar/1732118-brutal-salidera-bancaria-en-moreno-dame-la-plata-porque-si-no-mato-a-tu-nieta","-34.6477014","-58.7907073","http://tinyurl.com/pgt8djc"
"388","2014-10-3 00:17:00","Hurto/Robo","deje estacionado el coche y a los 10 mm paso por mis narices , nunca lo encontrÃ© ","-34.659951719192215","-58.67069900035858","http://tinyurl.com/p73j82q"
"389","2014-10-2 22:30:00","Robo con Arma","Entrando el auto a casa, bajan  de un auto dos individuos ,uno apunta a mi esposa ,yo dentro del auto. Querian plata. Pero se fueron xq uno lo alerta q venia la policua. Era un Gol Trend","-34.6540206","-58.6683936","http://tinyurl.com/of7xcyv"
"390","2014-9-2 20:00:00","Hurto/Robo","Cuando intentaba ingresar con el auto al garage, dos tipos en moto solo el q manejaba llevaba casco el de atras se baja con arma en mano y al verlos por el espejo doy marcha atras.","-34.6622638148262","-58.66171360015869","http://tinyurl.com/le54455"
"391","2014-10-3 20:48:00","Robo con Arma","Hace mucho tiempo que en Hurlingham los chorros hacen lo que quieren. ","-34.5933423","-58.6378405","http://tinyurl.com/mc6n9wz"
"392","2014-8-30 22:00:00","Robo con Arma","entraron dos personas armadas a la heladeria Grido se llevaron algo de dinero","-34.64231766214319","-58.68630409240723","http://tinyurl.com/pbpr6yr"
"393","2014-9-25 22:05:00","Robo con Arma","Motochorro ","-34.646024832364276","-58.68196964263915","http://tinyurl.com/lypdztf"
"394","2014-6-5 22:26:00","Usurpaciones","Usurpacion d localrs abandonados.","-34.65948433702055","-58.71723286986253","http://tinyurl.com/lf4gabd"
"395","2014-10-6 09:56:00","Robo con Arma","Hace unos meses me interceptaron en la puerta de casa,ringuelet entre peredo y aguas buenas y me sacaron la moto,dos delincuentes armados,jovenes,a las 22:30 hs,la moto tenia alarma.","-34.640199717374415","-58.69169971231713","http://tinyurl.com/lb52hnb"
"396","2014-6-3 10:56:00","Hurto/Robo","Hace un aÃ±o me entraron a casa y me robaron la primer moto que me.compre,ybr 125 con alarma,jamas la encontraron al igual que la siguiente.","-34.640199717374415","-58.69169971231713","http://tinyurl.com/lb52hnb"
"398","2014-10-2 20:30:00","Hurto/Robo","Intento de robo de mi camioneta,en la puerta de casa,un motochorro con honda twister(cbx 250) sin patente,un masculino.","-34.640199717374415","-58.69169971231713","http://tinyurl.com/lb52hnb"
"399","2014-6-4 21:30:00","Robo con Arma","Robo con escopeta a una mujer que caminaba en ringuelet 2500 entre peredo y aguas buenas.","-34.640199717374415","-58.69169971231713","http://tinyurl.com/lb52hnb"
"400","2014-8-6 13:30:00","Hurto/Robo","En peaje de Autopista Illia tajearon un neumÃ¡tico del auto obligÃ¡ndome a parar. Un auxilio de la autopista me bajo en la primera salida (Sarmiento), y 2 delincuentes en moto me robaron","-36.323287","-65.005171","http://tinyurl.com/pjgb9ag"
"401","2014-10-7 01:09:00","Lesiones","Rompieron el vidrio de un auto azul","-34.6652641480943","-58.667614459991455","http://tinyurl.com/pjltkua"
"403","2014-10-7 22:00:00","Robo con Arma","hombre de 45 aÃ±os fue sorprendido por dos motochorros que intentaron robarle. Lo mataron de tres balazos. http://tinyurl.com/kysvcl9","-34.67879077196984","-58.42143058776855","http://tinyurl.com/mryrn9d"
"404","2014-10-8 20:04:00","Robo con Arma","Se cruzo un palio negro y intentaron robar a mano armada A un vecino que estacionaba su auto con su familia adentro , un vecino salio en defensa y el el robo fue frustrado","-34.708604715879986","-58.62977975724789","http://tinyurl.com/mrqnpcj"
"405","2014-10-5 23:00:00","Hurto/Robo","Un pibe de 10 aÃ±o roba billeteras a los transeÃºntes que cruzan rivadavia, no esta solo, trabaja con uno de rastas largas y otro que espera en el cruce de barrera. ESTÃN SIEMPRE; OJO !!!","-34.64094067099078","-58.56576561927796","http://tinyurl.com/mbcy6u8"
"406","2014-9-24 01:30:00","Secuestro","un auto renault rojo me empezo a seguir, me decia cosas y yo lo ignoraba mientras pensaba como uir, saco un arma por la ventanilla y me pidio q me subiera, me salvo que paso un patrullero.","-34.6753443","-58.6843791","http://tinyurl.com/odhpgn4"
"407","2014-8-24 08:30:00","Hurto/Robo","2 Individuos en una moto.","-34.646598546278575","-58.65701436996461","http://tinyurl.com/mdgx3pb"
"408","2014-10-11 15:50:00","Hurto/Robo","me robaron la bicicleta","-29.1382615","-59.6504318","http://tinyurl.com/oou26hj"
"410","2014-9-26 21:45:00","Hurto/Robo","me tomo un taxi para ir a retiro.  Y me metio el cuento del tio de que en retiro estaban de paro. Termine en la est de micros de liniers sin un mango ni documentos. chorro con cara de gitano","-34.60641132550705","-58.38576793670654","http://tinyurl.com/mrgo96z"
"411","2014-10-15 21:00:00","Robo con Arma","Le acaban de robar el celular a mi hija en la esquina de ColÃ³n y Rivadavia , unos pibes en un Gol gris ( eso le pareciÃ³) a punta de navaja .","-34.63994322081218","-58.55614185333252","http://tinyurl.com/kh35zxr"
"412","2014-10-16 10:30:00","Hurto/Robo","Asalto a confiterÃ­a Dos motochorros asaltaron la confiterÃ­a San Marcos en  Cabrera y Bonpland. Se dieron a la fuga.","-34.584857417116176","-58.43896687030792","http://tinyurl.com/mwhalqq"
"413","2014-10-20 18:40:00","Hurto/Robo","Limpiavidrios estan continuamente robando diariamente en Av. Cordoba y Medrano.","-34.59776570498416","-58.42027187347412","http://tinyurl.com/oqj6l4m"
"414","2014-10-1 05:05:00","Robo con Arma","63 ed dfsd
 fsdfsd
fsd
fsd
 fsd","-33.5665726400041","-70.63796997070312","http://tinyurl.com/pp2b5ou"
"415","2014-10-22 10:00:00","Homicidio","Asesinaron al dueÃ±o de la casa que estaba pintando la reja en la calle: http://www.lanacion.com.ar/1737825-tragico-asalto-lo-matan-mientras-pintaba-las-rejas-de-su-casa","-34.66295213617908","-58.66675615310668","http://tinyurl.com/mpokk92"
"416","2014-10-21 19:00:00","Hurto/Robo","Robaron un Duplex cuando no habia , nadie, calentaron las rejas con un soplete para doblar y entrar.. se llevaron un monton de pertenencias...","-34.643235643541935","-58.55536937713622","http://tinyurl.com/n8mp3jm"
"417","2014-10-22 14:00:00","Hurto/Robo","Robo al supermercado chino...Les robaron a un camion que trai mercaderia, dinero y otras cosas...","-34.6431471","-58.5585592","http://tinyurl.com/kjrgtya"
"418","2014-10-22 14:00:00","Hurto/Robo","Robo al supermercado chino, ubicado en lavalle y pueyrredon, Les roban las pertenencias y dinero a proveedores de mercaderia...
","-34.64376524357236","-58.55940341949463","http://tinyurl.com/pu3dtly"
"419","2014-10-23 07:10:00","Hurto/Robo","Dos hombres de 35 Ã³ + aÃ±os, en una moto roja, baja el acompaÃ±ante armado, me roba celular que me saca del guardapolvo y me saca la cartera. siguieron circulando por zona 1 hora mÃ¡s.","-34.6805376895105","-58.66974949836731","http://tinyurl.com/o7enbwb"
"420","2014-10-23 15:10:00","Hurto/Robo","Una pareja en un auto blanco, entran a una casa de una persona mayor y le sustraen electrodomÃ©sticos y dinero.","-34.68066561889226","-58.66770029067993","http://tinyurl.com/njrwl6q"
"421","2014-8-19 02:10:00","Robo con Arma","2 pibes en una moto. Uno maneja mientras el otro baja y nos apunta con un amar a mÃ­ y un amigo y se lleva todo lo que puede","-34.67717616389672","-58.66315126419067","http://tinyurl.com/lfym9mx"
"422","2014-10-27 02:40:00","Hurto/Robo","Se detuvo un FalcÃ³n color blanco, y bajaron dos personas para robar un Fiat uno color azul. ","-34.62918094146548","-58.634397500691186","http://tinyurl.com/mmyl7xh"
"423","2014-10-22 10:02:00","Homicidio","Asesinaron a Claudio Espindola de un disparo en el pecho en un intento de entradera cuando pintaba la reja de su casa.","-34.6628462409585","-58.66642355918884","http://tinyurl.com/matlkyj"
"424","2014-11-5 16:29:00","Robo con Arma","Hombre grande en moto, con arma, robo de celular y mp4. 26 de abril y balbastro. a las 15.30 prox de la tarde.","-34.63624460614427","-58.70003700256347","http://tinyurl.com/jwjson9"
"425","2014-11-5 16:51:00","Hurto/Robo","Hombre grande en moto BLANCA, MODELO 110, con arma, robo de celular y mp4. 26 de abril y balbastro. a las 15.30 aprox de la tarde.","-34.63624460614427","-58.70046615600586","http://tinyurl.com/n4e28fo"
"426","2014-4-1 17:00:00","Robo con Arma","Entraron por la ventana, lo maneataron a mi hermano apuntandole en todo momento.Se llevaron todos los ahorros de una vida de mis padres en 15 minutos.","-34.6411172095958","-58.68218421936035","http://tinyurl.com/m7vsyyw"
"427","2014-10-5 00:47:00","Hurto/Robo","Asalto a mano armada en el kiosko frente a la plaza. 4 d la tarde. Un solo tipo con revolver . Se escapo hacia la estacion. Despues me entere q venia de robar en el lado norte. 


","-34.66095775346489","-58.66703510284424","http://tinyurl.com/q4h96vt"
"428","2014-11-3 19:00:00","Robo con Arma","hola les cuento el el dia lunes a las 7 de la tarde me robaron eran tren personas en un auto bordo con la ventana del acompaÃ±ante con bolsas. medio roto el auto. los buscaban desde la maÃ±a","-34.66685251583985","-58.67124080657959","http://tinyurl.com/lodscae"
"429","2014-11-9 05:59:00","Hurto/Robo","Se cruza un asaltante a una moto y la misma se da cuenta corriendo al delincuente que se da a la fuga.
","-34.671158604090536","-58.721762895584106","http://tinyurl.com/np6ow93"
"430","2014-11-10 19:00:00","Hurto/Robo","Dos chicos en una moto grande, negra, uno de ellos con una remera verde. Volvia a mi casa con mi hna y me arrancaron la cartera del brazo cortandola con una navaja, a dos cuadras de mi casa.","-34.64397708263742","-58.679051399230964","http://tinyurl.com/pdgvsre"
